generation,GA_MSE,GA_time,HA_MSE,HA_time,run_id
1,1.334403,17.13258,0.8527593,17.40016,0
2,1.334403,17.51054,0.8527593,17.63241,0
3,1.317737,17.77163,0.8740429,17.87618,0
4,1.3358,18.00176,0.8740429,18.12011,0
5,1.314554,18.28298,0.8421419,18.36824,0
6,1.312182,18.52974,0.8421419,18.62486,0
7,1.326938,18.77293,0.8421419,18.86268,0
8,1.300258,18.99395,0.8422995,19.0915,0
9,1.318309,19.22724,0.8422995,19.30963,0
10,1.319658,19.47099,0.8422995,19.56735,0
11,1.33225,19.73683,0.8422995,19.85305,0
12,1.300195,19.97136,0.8422995,20.07653,0
13,1.304902,20.2074,0.8422995,20.29178,0
14,1.301314,20.45566,0.8367939,20.55991,0
15,1.305183,20.67248,0.8656166,20.73962,0
16,1.293241,20.93683,0.8643187,21.04,0
17,1.293241,21.21122,0.8643187,21.30644,0
18,1.273084,21.45435,0.856088,21.53168,0
19,1.270807,21.69988,0.856088,21.78641,0
20,1.233171,21.93479,0.8570914,22.03034,0
21,1.235717,22.16971,0.8570914,22.2656,0
22,1.238759,22.41379,0.8499208,22.50723,0
23,1.242264,22.66582,0.8570914,22.75944,0
24,1.230495,22.90468,0.8570914,22.98998,0
25,1.254125,23.12768,0.8570914,23.21531,0
26,1.273338,23.38124,0.8570914,23.48671,0
27,1.28804,23.61189,0.8570914,23.70206,0
28,1.249781,23.84746,0.8570914,23.94368,0
29,1.228866,24.07775,0.8590696,24.16159,0
30,1.223303,24.30805,0.8590696,24.4066,0
31,1.236392,24.57986,0.8590696,24.68142,0
32,1.247618,24.78027,0.8590696,24.87109,0
33,1.227929,24.99354,0.8590696,25.06545,0
34,1.226624,25.193,0.8590696,25.27993,0
35,1.223407,25.41674,0.8590696,25.49112,0
36,1.228884,25.62285,0.8590696,25.69862,0
37,1.227807,25.83352,0.8590696,25.90472,0
38,1.224952,26.04415,0.8590696,26.14198,0
39,1.239898,26.29324,0.8590696,26.38675,0
40,1.230541,26.52601,0.8590696,26.61178,0
41,1.225788,26.76465,0.8590696,26.85305,0
42,1.199573,27.03562,0.8658847,27.14597,0
43,1.199573,27.26128,0.8658847,27.35699,0
44,1.199573,27.49395,0.8658847,27.58667,0
45,1.199573,27.71696,0.8658847,27.80275,0
46,1.199573,27.93294,0.8658847,28.0223,0
47,1.199573,28.16979,0.8658847,28.25343,0
48,1.199573,28.40283,0.8658847,28.49637,0
49,1.199573,28.60512,0.8658847,28.68389,0
50,1.199573,28.80947,0.8658847,28.90045,0
51,1.199573,29.03115,0.8658847,29.10687,0
52,1.199573,29.25595,0.8658847,29.34956,0
53,1.199573,29.50336,0.8658847,29.60199,0
54,1.199573,29.73412,0.8658847,29.83085,0
55,1.199573,29.95026,0.8658847,30.02619,0
56,1.199573,30.15356,0.8658847,30.23872,0
57,1.199573,30.35712,0.8658847,30.44608,0
58,1.199573,30.62609,0.8658847,30.73603,0
59,1.199573,30.88958,0.8658847,30.96499,0
60,1.199573,31.10322,0.8658847,31.19846,0
61,1.199573,31.31861,0.8658847,31.40253,0
62,1.199573,31.52212,0.8658847,31.6167,0
63,1.199573,31.76932,0.8658847,31.84343,0
64,1.199573,31.9961,0.8658847,32.08705,0
65,1.199573,32.20131,0.8658847,32.29482,0
66,1.199573,32.4108,0.8658847,32.48607,0
67,1.199573,32.62732,0.8658847,32.7168,0
68,1.199573,32.84932,0.8658847,32.92215,0
69,1.199573,33.08262,0.8658847,33.16947,0
70,1.199573,33.32575,0.8658847,33.43919,0
71,1.199573,33.55032,0.8658847,33.647,0
72,1.199573,33.77574,0.8658847,33.85971,0
73,1.199573,33.99713,0.8658847,34.08351,0
74,1.199573,34.23421,0.8658847,34.31999,0
75,1.199573,34.44125,0.8658847,34.5216,0
76,1.199573,34.65179,0.8658847,34.73073,0
77,1.199573,34.84255,0.8658847,34.9142,0
78,1.199573,35.06489,0.8658847,35.16051,0
79,1.199573,35.30428,0.8658847,35.39538,0
80,1.199573,35.54266,0.8658847,35.62413,0
81,1.199573,35.81084,0.8658847,35.91723,0
82,1.199573,36.03221,0.8658847,36.13341,0
83,1.199573,36.28639,0.8658847,36.38885,0
84,1.199573,36.51225,0.8658847,36.59636,0
85,1.199573,36.71938,0.8658847,36.79883,0
86,1.199573,36.93225,0.8658847,37.02117,0
87,1.199573,37.15811,0.8658847,37.24603,0
88,1.194722,37.37229,0.8631573,37.4693,0
89,1.189562,37.58776,0.8631573,37.70079,0
90,1.176668,37.82451,0.8631573,37.91573,0
91,1.191763,38.06297,0.8631573,38.15281,0
92,1.178924,38.2734,0.8631573,38.3533,0
93,1.181413,38.48227,0.8631573,38.56624,0
94,1.192098,38.71686,0.8631573,38.80276,0
95,1.194375,38.92382,0.8631573,39.00669,0
96,1.176794,39.15201,0.8631573,39.22429,0
97,1.207449,39.38288,0.8631573,39.49165,0
98,1.178702,39.62115,0.8631573,39.71595,0
99,1.19143,39.86004,0.8631573,39.96643,0
100,1.176615,40.12361,0.8631573,40.20355,0
101,1.203862,40.33185,0.8631573,40.41251,0
102,1.178271,40.54979,0.8631573,40.65858,0
103,1.176539,40.78253,0.8631573,40.87644,0
104,1.17888,41.00354,0.8631573,41.10387,0
105,1.185478,41.25246,0.8631573,41.35485,0
106,1.205411,41.50124,0.8631573,41.59965,0
107,1.171821,41.72265,0.8631573,41.80999,0
108,1.183894,41.94998,0.8631573,42.04394,0
109,1.188538,42.17551,0.8631573,42.27116,0
110,1.172082,42.40786,0.8631573,42.49935,0
111,1.176907,42.66165,0.8631573,42.74782,0
112,1.176371,42.88363,0.8631573,42.96373,0
113,1.187711,43.09996,0.8631573,43.19906,0
114,1.174177,43.31337,0.8631573,43.39237,0
115,1.191535,43.50556,0.8631573,43.58399,0
116,1.186952,43.72989,0.8631573,43.83101,0
117,1.194208,43.93762,0.8631573,44.02113,0
118,1.204704,44.15686,0.8631573,44.24008,0
119,1.174177,44.36457,0.8631573,44.44954,0
120,1.210086,44.60862,0.8631573,44.70322,0
121,1.172619,44.87268,0.8631573,44.97371,0
122,1.198935,45.11085,0.8631573,45.20192,0
123,1.220126,45.36901,0.8631573,45.48035,0
124,1.217858,45.6043,0.8631573,45.68773,0
125,1.205418,45.8454,0.8631573,45.93374,0
126,1.174359,46.07339,0.8631573,46.15239,0
