generation,GA_MSE,GA_time,HA_MSE,HA_time,run_id
1,1.117505,91.5138,0.6053567,92.91145,0
2,1.117505,91.79186,0.6053567,92.03705,0
3,1.104359,92.54075,0.6207318,92.9334,0
4,1.096976,92.7973,0.5882542,93.10326,0
5,1.063564,93.00687,0.6066093,93.33911,0
6,1.062612,93.24519,0.6248954,93.52926,0
7,1.050599,93.43498,0.6059951,93.70697,0
8,1.035988,93.61488,0.6011854,93.80842,0
9,1.017351,93.80386,0.6262754,94.02303,0
10,1.017351,93.9898,0.6262754,94.18275,0
11,1.017351,94.22937,0.6262754,94.43976,0
12,1.003575,94.45896,0.6118373,94.64514,0
13,0.9968942,94.63613,0.6098589,94.81473,0
14,0.9968942,94.82532,0.6098589,95.0131,0
15,0.9891316,95.00952,0.6045376,95.2069,0
16,0.9863134,95.19697,0.6245282,95.37227,0
17,0.9746894,95.36117,0.5992529,95.54943,0
18,0.9602113,95.52865,0.6190301,95.7323,0
19,0.9602113,95.69417,0.6190301,95.89351,0
20,0.9554191,95.87831,0.6128241,96.0665,0
21,0.9503859,96.04657,0.6125936,96.24821,0
22,0.9483825,96.22242,0.6087476,96.4144,0
23,0.9313397,96.39015,0.6048846,96.57,0
24,0.9313397,96.56365,0.6048846,96.74692,0
25,0.9223115,96.78276,0.5981863,96.97154,0
26,0.9223115,96.93589,0.5981863,97.12359,0
27,0.9223115,97.08848,0.5981863,97.27292,0
28,0.9203797,97.25498,0.5970585,97.43371,0
29,0.9149163,97.42955,0.5950888,97.60106,0
30,0.9149163,97.59434,0.5950888,97.78095,0
31,0.9121897,97.73913,0.5941189,97.93738,0
32,0.9121897,97.88876,0.5941189,98.0746,0
33,0.9020686,98.0498,0.5950116,98.26272,0
34,0.9020686,98.21358,0.5950116,98.40878,0
35,0.8998752,98.36239,0.5956161,98.53889,0
36,0.8997989,98.54577,0.5956352,98.73693,0
37,0.8960049,98.78869,0.5952775,99.06206,0
38,0.8919883,99.0038,0.5958995,99.17508,0
39,0.8887659,99.21567,0.5961099,99.40575,0
40,0.8887659,99.3585,0.5961099,99.54567,0
41,0.8874971,99.51003,0.5973432,99.69381,0
42,0.8874971,99.69852,0.5973432,99.87462,0
43,0.8857944,99.86749,0.5973113,100.0727,0
44,0.8841329,100.0265,0.5965533,100.2838,0
45,0.8834268,100.1997,0.5979251,100.4428,0
46,0.8834268,100.3622,0.5979251,100.5647,0
47,0.8820996,100.5051,0.5972828,100.7065,0
48,0.8818876,100.7433,0.5976719,100.9184,0
49,0.8815844,100.9223,0.5975067,101.1102,0
50,0.8787985,101.0765,0.5986269,101.2565,0
51,0.8787985,101.2326,0.5986269,101.4062,0
52,0.8787985,101.3948,0.5986269,101.5901,0
53,0.8787985,101.5605,0.5986269,101.7495,0
54,0.8770034,101.7278,0.5986635,101.9206,0
55,0.8770034,101.8988,0.5986635,102.0958,0
56,0.8769028,102.0593,0.5970151,102.2368,0
57,0.8759921,102.2914,0.5981517,102.4705,0
58,0.8759792,102.4612,0.5981517,102.6549,0
59,0.8759792,102.6238,0.5981517,102.8071,0
60,0.8757956,102.7732,0.5982086,102.965,0
61,0.8757956,102.9465,0.5982086,103.1266,0
62,0.8757956,103.1085,0.5982086,103.311,0
63,0.8757956,103.2864,0.5982086,103.4667,0
64,0.8757956,103.4828,0.5982086,103.6541,0
65,0.875738,103.6713,0.5981517,103.8966,0
66,0.875738,103.8643,0.5981517,104.0386,0
67,0.875738,104.0629,0.5981517,104.2276,0
68,0.875738,104.2782,0.5981517,104.4498,0
69,0.875738,104.5305,0.5981517,104.7121,0
70,0.8756684,104.7952,0.5982086,104.9813,0
71,0.8756684,105.0642,0.5982086,105.294,0
72,0.8756684,105.3108,0.5982086,105.5955,0
73,0.8756684,105.5481,0.5982086,105.7362,0
74,0.8756684,105.7865,0.5982086,106.01,0
75,0.8756684,106.0597,0.5982086,106.269,0
76,0.8756684,106.3204,0.5982086,106.5136,0
77,0.8756684,106.5344,0.5982086,106.7117,0
78,0.8756684,106.7815,0.5982086,106.9731,0
79,0.8756684,107.0599,0.5982086,107.2571,0
80,0.8756684,107.2215,0.5982086,107.4324,0
81,0.8756684,107.3776,0.5982086,107.5804,0
82,0.8756684,107.5417,0.5982086,107.7378,0
83,0.8756684,107.6998,0.5982086,107.8783,0
84,0.8756684,107.8625,0.5982086,108.066,0
85,0.8756684,107.9998,0.5982086,108.1912,0
86,0.8756684,108.1466,0.5982086,108.3289,0
87,0.8756684,108.2995,0.5982086,108.4949,0
88,0.8756684,108.453,0.5982086,108.6234,0
89,0.8756684,108.5935,0.5982086,108.7921,0
90,0.8756684,108.7364,0.5982086,108.9264,0
