generation,GA_MSE,GA_time,HA_MSE,HA_time,run_id
1,0.003360727,35.14738,8.009117e-5,35.31855,0
2,0.002731937,35.48963,8.166592e-5,35.65047,0
3,0.002732647,36.00584,8.166592e-5,36.13586,0
4,0.002731045,36.32195,8.166592e-5,36.48734,0
5,0.002731394,36.66257,8.166592e-5,36.8139,0
6,0.002731878,36.98815,8.166592e-5,37.11008,0
7,0.002731882,37.32765,8.166592e-5,37.48912,0
8,0.002731476,37.65015,8.166592e-5,37.77073,0
9,0.002732234,38.09333,8.166592e-5,38.23215,0
10,0.002732032,38.41905,8.166592e-5,38.54767,0
11,0.00273176,38.78499,8.166592e-5,38.93822,0
12,0.002731918,39.11108,8.166592e-5,39.26159,0
13,0.002732063,39.43658,8.166592e-5,39.56527,0
14,0.002731242,39.80065,8.166592e-5,39.92447,0
15,0.002732184,40.13324,8.166592e-5,40.30288,0
16,0.002731739,40.47964,8.166592e-5,40.60422,0
17,0.002731818,40.79415,8.166592e-5,40.91842,0
18,0.002731874,41.12252,8.166592e-5,41.24681,0
19,0.002732526,41.43094,8.166592e-5,41.55564,0
20,0.002731459,41.74814,8.166592e-5,41.87712,0
21,0.002731705,42.10084,8.166592e-5,42.24228,0
22,0.003000672,42.4426,8.166592e-5,42.59439,0
23,0.002731979,42.79145,8.166592e-5,42.91971,0
24,0.002732282,43.10491,8.166592e-5,43.22972,0
25,0.002732891,43.42558,8.166592e-5,43.55887,0
26,0.002732398,43.73972,8.166592e-5,43.87599,0
27,0.002731657,44.07046,8.166592e-5,44.19858,0
28,0.002729293,44.39503,7.743966e-5,44.51991,0
29,0.002730497,44.7296,7.743966e-5,44.85543,0
30,0.002729451,45.07985,7.743966e-5,45.2201,0
31,0.002644561,45.44699,8.775575e-5,45.62867,0
32,0.00264406,45.76462,8.775575e-5,45.90231,0
33,0.002354738,46.1059,7.575704e-5,46.229,0
34,0.002514727,46.48215,7.575704e-5,46.62236,0
35,0.002430976,46.8512,7.575704e-5,47.00827,0
36,0.002354165,47.19025,7.575704e-5,47.32487,0
37,0.002354687,47.54719,7.575704e-5,47.69499,0
38,0.002354164,47.92423,7.575704e-5,48.05316,0
39,0.002353653,48.25307,7.575704e-5,48.37692,0
40,0.002355259,48.56658,7.575704e-5,48.70633,0
41,0.002727085,48.89722,7.575704e-5,49.03025,0
42,0.002353903,49.21375,8.720225e-5,49.34245,0
43,0.002354871,49.56513,7.575704e-5,49.70228,0
44,0.002649982,49.88535,8.394207e-5,50.01201,0
45,0.002354787,50.25325,7.575704e-5,50.37523,0
46,0.001919395,50.6229,7.781324e-5,50.74743,0
47,0.001919473,50.94102,7.781324e-5,51.06638,0
48,0.001919918,51.27631,7.781324e-5,51.41557,0
49,0.001918945,51.61395,7.781324e-5,51.74253,0
