generation,GA_MSE,GA_time,HA_MSE,HA_time,run_id
1,0.004434567,82.2693,6.429402e-5,82.95168,0
2,0.004434567,82.49263,6.429402e-5,82.75454,0
3,0.004434567,82.93067,6.429402e-5,83.27535,0
4,0.004434567,83.26521,6.429402e-5,83.55858,0
5,0.003778856,84.52349,6.979703e-5,84.78409,0
6,0.003778856,84.74792,6.979703e-5,84.95278,0
7,0.00372478,85.01632,6.716891e-5,85.23857,0
8,0.003122509,85.24756,6.918712e-5,85.48203,0
9,0.003122509,85.43522,6.918712e-5,85.61219,0
10,0.003122509,85.60377,6.918712e-5,85.79177,0
11,0.002744192,85.78535,6.592778e-5,85.99123,0
12,0.002744192,85.95078,6.592778e-5,86.15067,0
13,0.002744192,86.13127,6.592778e-5,86.31593,0
14,0.002744192,86.30429,6.592778e-5,86.48113,0
15,0.002476414,86.47555,6.67364e-5,86.68449,0
16,0.002476414,86.63108,6.67364e-5,86.80416,0
17,0.002411717,86.79607,6.604396e-5,86.98159,0
18,0.002408764,86.96588,6.510356e-5,87.16764,0
19,0.002227699,87.13202,6.675313e-5,87.32421,0
20,0.002026403,87.28575,6.696167e-5,87.49482,0
21,0.001932,87.43748,6.54274e-5,87.63985,0
22,0.001813231,87.59446,6.38666e-5,87.79071,0
23,0.001813231,87.74912,6.38666e-5,87.92601,0
24,0.001813231,87.91049,6.38666e-5,88.10119,0
25,0.001737194,88.11694,6.156045e-5,88.3088,0
26,0.00172829,88.27727,6.308854e-5,88.48547,0
27,0.00172829,88.43922,6.308854e-5,88.63484,0
28,0.001678374,88.60421,6.262236e-5,88.78624,0
29,0.001593901,88.80017,6.141061e-5,88.98565,0
30,0.001589515,88.95867,6.13406e-5,89.14036,0
31,0.001582545,89.13549,6.133965e-5,89.32869,0
32,0.001537077,89.2862,6.085271e-5,89.46313,0
33,0.001534766,89.43582,6.085625e-5,89.63487,0
34,0.001534766,89.61614,6.085625e-5,89.80818,0
35,0.00152996,89.77013,6.060275e-5,89.95164,0
36,0.001511546,89.9259,6.174028e-5,90.11253,0
37,0.001511546,90.08763,6.174028e-5,90.26141,0
38,0.00149211,90.24318,6.157508e-5,90.42958,0
39,0.001491516,90.39593,6.22499e-5,90.57663,0
40,0.001477414,90.53341,6.109025e-5,90.72606,0
41,0.001474211,90.68604,6.127006e-5,90.87395,0
42,0.001474211,90.85025,6.127006e-5,91.04328,0
43,0.001462882,91.01459,6.16034e-5,91.1966,0
44,0.001462882,91.16558,6.16034e-5,91.34979,0
45,0.001462882,91.31708,6.16034e-5,91.50377,0
46,0.001460063,91.47858,6.116424e-5,91.68323,0
47,0.001460063,91.63169,6.116424e-5,91.82529,0
48,0.001459441,91.79098,6.178119e-5,92.02599,0
49,0.001459099,91.96157,6.113464e-5,92.16502,0
50,0.001459099,92.12868,6.113464e-5,92.31754,0
51,0.001459012,92.29175,6.097515e-5,92.46462,0
52,0.001450336,92.46099,6.077481e-5,92.65036,0
53,0.001450336,92.61959,6.077481e-5,92.803,0
54,0.001449698,92.77693,6.085106e-5,92.95516,0
55,0.001449353,92.93077,6.053168e-5,93.13432,0
56,0.001449353,93.10216,6.053168e-5,93.30274,0
57,0.001449023,93.25555,6.087674e-5,93.4463,0
58,0.001448648,93.48471,6.063737e-5,93.67217,0
59,0.001448648,93.70373,6.063737e-5,93.89792,0
60,0.001448648,93.85921,6.063737e-5,94.05959,0
61,0.001448648,93.99912,6.063737e-5,94.18557,0
