generation,GA_MSE,GA_time,HA_MSE,HA_time,run_id
1,0.003465634,14.03429,9.758776e-5,14.26887,0
2,0.003465634,14.24523,9.758776e-5,14.3327,0
3,0.00346113,14.51053,8.808604e-5,14.62859,0
4,0.003452605,14.72447,8.808604e-5,14.80439,0
5,0.003271578,14.92334,0.0001133328,15.0166,0
6,0.003357841,15.11107,9.115172e-5,15.20577,0
7,0.002836669,15.29256,9.667787e-5,15.37223,0
8,0.002858472,15.49387,9.667787e-5,15.57716,0
9,0.002836734,15.68955,9.667787e-5,15.77043,0
10,0.002089999,15.88859,8.727184e-5,15.97006,0
11,0.002090004,16.10148,8.727184e-5,16.20025,0
12,0.002093492,16.31742,8.727184e-5,16.3898,0
13,0.002089999,16.51017,8.727184e-5,16.58682,0
14,0.002041464,16.70642,9.168772e-5,16.78021,0
15,0.002041707,16.90461,9.168772e-5,16.98391,0
16,0.002041739,17.09074,9.168772e-5,17.16914,0
17,0.002041575,17.28197,9.168772e-5,17.38591,0
18,0.002041739,17.54715,9.168772e-5,17.61879,0
19,0.001998746,17.72435,9.460507e-5,17.80941,0
20,0.00186,17.92704,9.249198e-5,18.00874,0
21,0.001859996,18.10972,9.249198e-5,18.18779,0
22,0.001859513,18.28843,9.249198e-5,18.36801,0
23,0.001887876,18.46209,9.249198e-5,18.54021,0
24,0.001859088,18.64016,9.249198e-5,18.71375,0
25,0.001614209,18.82896,8.649985e-5,18.90878,0
26,0.001617102,19.01133,8.649985e-5,19.08417,0
27,0.001628385,19.18316,8.586304e-5,19.25524,0
28,0.001613212,19.36751,8.649985e-5,19.45558,0
29,0.001637924,19.57795,8.649985e-5,19.64995,0
30,0.001612788,19.76902,8.649985e-5,19.85089,0
31,0.001500406,19.95585,8.264047e-5,20.03249,0
32,0.001500406,20.16045,8.264047e-5,20.23791,0
33,0.001500406,20.3549,8.264047e-5,20.43209,0
34,0.001500406,20.54376,8.264047e-5,20.62261,0
35,0.001500406,20.76843,8.264047e-5,20.85184,0
36,0.001500406,20.97214,8.264047e-5,21.05148,0
37,0.001343202,21.15733,9.067974e-5,21.23062,0
38,0.001346844,21.35259,9.067974e-5,21.42981,0
39,0.001341036,21.55107,9.067974e-5,21.63252,0
40,0.001334652,21.76294,9.067974e-5,21.83924,0
41,0.00135204,21.95708,9.067974e-5,22.04019,0
42,0.001335033,22.1672,9.067974e-5,22.25567,0
43,0.001140299,22.35603,9.011963e-5,22.44106,0
44,0.001140299,22.55316,9.011963e-5,22.63114,0
45,0.001140299,22.76651,9.011963e-5,22.83982,0
46,0.001140515,22.97549,9.011963e-5,23.05006,0
47,0.001140574,23.18304,9.011963e-5,23.2696,0
48,0.001140809,23.38715,9.011963e-5,23.46756,0
49,0.001140505,23.60902,9.011963e-5,23.69486,0
50,0.001140574,23.80894,9.011963e-5,23.89888,0
51,0.001005802,24.01578,8.378099e-5,24.10942,0
52,0.001005347,24.22259,8.378099e-5,24.31578,0
53,0.001005321,24.4395,8.378099e-5,24.52582,0
54,0.001005757,24.64929,8.378099e-5,24.7337,0
55,0.001006063,24.85718,8.378099e-5,24.93985,0
56,0.001005946,25.07839,8.378099e-5,25.16823,0
57,0.001007243,25.31074,8.378099e-5,25.40374,0
58,0.001006378,25.52471,8.378099e-5,25.60103,0
59,0.001005596,25.71971,8.378099e-5,25.80554,0
60,0.001009108,25.92755,8.378099e-5,26.01766,0
61,0.001005842,26.13893,8.378099e-5,26.22681,0
62,0.001005786,26.34187,8.378099e-5,26.42735,0
63,0.001007193,26.55476,8.378099e-5,26.63947,0
64,0.001005839,26.75559,8.378099e-5,26.83584,0
65,0.0009017442,26.94805,8.066726e-5,27.02831,0
66,0.0009020979,27.14955,8.066726e-5,27.22598,0
67,0.0008824288,27.34781,8.625236e-5,27.42382,0
68,0.0008830539,27.55712,8.625236e-5,27.64606,0
69,0.0008828273,27.75633,8.625236e-5,27.8461,0
70,0.0008704393,27.97234,8.784887e-5,28.0479,0
71,0.0009756273,28.17241,8.571929e-5,28.26001,0
72,0.0008451555,28.38051,8.784887e-5,28.46541,0
73,0.001013387,28.60465,8.779194e-5,28.68822,0
74,0.0008451555,28.83396,8.784887e-5,28.9125,0
75,0.0008451555,29.06808,8.784887e-5,29.15142,0
76,0.0008451555,29.28595,8.784887e-5,29.37825,0
77,0.0008451555,29.50383,8.784887e-5,29.59168,0
78,0.0008451555,29.72077,8.784887e-5,29.80762,0
79,0.0008451555,29.94726,8.784887e-5,30.03128,0
