name,dataset,consideredLength,remaining_points,pop_size,offspring_size,loop,iterations,runs,mean_best_mse,description
experiment_timed2019-07-02_16-11-32-280,Ham,10000,100,200,200,true,1000,50,0.4948910097206024,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-02_19-25-45-594,Rock,10000,100,200,200,true,500,50,0.020644818906354438,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-02_18-08-55-501,Ham,20000,200,200,200,true,1000,50,0.49073225799714015,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-02_20-25-51-081,Rock,20000,200,200,200,true,500,50,0.17894228770696352,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-02_22-38-32-465,Rock,30000,300,200,200,true,500,50,0.5011898241511665,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-02_22-06-43-002,Ham,30000,300,200,200,true,1000,50,0.47778563315721034,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-03_01-38-37-689,Rock,40000,400,200,200,true,500,50,0.6841935461947241,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-03_05-39-03-853,Rock,50000,500,200,200,true,500,50,0.533666887863055,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-03_04-05-41-195,Ham,40000,400,200,200,true,1000,50,0.48838113142909423,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-03_15-04-02-769,subject103_5,10000,100,200,200,true,500,50,0.12065687638198097,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
experiment_timed2019-07-03_15-05-11-265,subject103_6,10000,100,200,200,true,500,50,0.3864720020536332,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
